Original_x,Optimal_x,Cost,Objective,Runtime,Slack_income,slack_credit,Slack_ca,Slack_la
"[0.0, 1.0, 0.0, 4100000.0, 8800000.0, 18.0, 300.0, 10900000.0, 6400000.0, 8600000.0, 3500000.0]","[0.00000e+00 1.00000e+00 0.00000e+00 3.49995e+04 8.80000e+06 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.0549893379211425,0.5,0.5,0.5,0.5
"[0.0, 1.0, 1.0, 9600000.0, 19600000.0, 12.0, 500.0, 21500000.0, 700000.0, 37600000.0, 10900000.0]","[0.00000e+00 1.00000e+00 1.00000e+00 3.49995e+04 1.96000e+07 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.0704131126403808,0.5,0.5,0.5,0.5
"[2.0, 1.0, 1.0, 5000000.0, 10700000.0, 2.0, 753.0, 12600000.0, 9000000.0, 11500000.0, 5700000.0]","[2.00000e+00 1.00000e+00 1.00000e+00 3.49995e+04 1.07000e+07 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.0829768180847168,0.5,0.5,0.5,0.5
"[2.0, 0.0, 0.0, 7900000.0, 17700000.0, 4.0, 402.0, 20900000.0, 11800000.0, 25600000.0, 8400000.0]","[2.00000e+00 0.00000e+00 0.00000e+00 3.49995e+04 1.77000e+07 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.0985541343688964,0.5,0.5,0.5,0.5
"[3.0, 0.0, 0.0, 4300000.0, 8600000.0, 8.0, 881.0, 9100000.0, 5200000.0, 15000000.0, 5500000.0]","[3.00000e+00 0.00000e+00 0.00000e+00 3.49995e+04 8.60000e+06 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.0932586193084716,0.5,0.5,0.5,0.5
"[3.0, 1.0, 1.0, 8200000.0, 16500000.0, 18.0, 371.0, 19000000.0, 1200000.0, 18500000.0, 8200000.0]","[3.00000e+00 1.00000e+00 1.00000e+00 3.49995e+04 1.65000e+07 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.0677268505096435,0.5,0.5,0.5,0.5
"[0.0, 1.0, 1.0, 2400000.0, 5200000.0, 16.0, 740.0, 6300000.0, 1000000.0, 7500000.0, 2900000.0]","[0.00000000e+00 1.00000000e+00 1.00000000e+00 3.49993079e+04
 5.20000000e+06 5.00000000e+00 5.99307867e+02 2.80000000e+06
 9.93078665e+01 9.99307867e+02 8.00000000e+05]",2.768533879119457,2.768533879119457,0.0838649272918701,0.692133469779864,0.692133469779864,0.692133469779864,0.692133469779864
"[1.0, 0.0, 0.0, 8800000.0, 20200000.0, 6.0, 627.0, 24200000.0, 16100000.0, 17600000.0, 11900000.0]","[1.00000e+00 0.00000e+00 0.00000e+00 3.49995e+04 2.02000e+07 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.1097426414489746,0.5,0.5,0.5,0.5
"[0.0, 1.0, 1.0, 1200000.0, 2800000.0, 14.0, 892.0, 3200000.0, 100000.0, 3300000.0, 1700000.0]","[0.00000000e+00 1.00000000e+00 1.00000000e+00 3.49998632e+04
 2.80000000e+06 5.00000000e+00 5.99863250e+02 2.80000000e+06
 9.98632498e+01 9.99863250e+02 8.00000000e+05]",0.547000900070881,0.547000900070881,0.0614385604858398,0.136750225017720,0.136750225017720,0.136750225017720,0.136750225017720
"[1.0, 0.0, 0.0, 200000.0, 300000.0, 12.0, 697.0, 600000.0, 300000.0, 700000.0, 100000.0]","[1.00000000e+00 0.00000000e+00 0.00000000e+00 4.00005000e+04
 3.00000000e+05 5.00000000e+00 9.00000000e+02 2.80000000e+06
 2.22085275e+07 0.00000000e+00 8.00000000e+05]",22209427.979817186521594,22209427.979817186521594,0.112786054611206,0.5,150,22208277.479817186521594,1000
"[4.0, 0.0, 1.0, 9200000.0, 18600000.0, 2.0, 889.0, 26900000.0, 4200000.0, 33300000.0, 9700000.0]","[4.00000e+00 0.00000e+00 1.00000e+00 3.49995e+04 1.86000e+07 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.1119186878204345,0.5,0.5,0.5,0.5
"[2.0, 1.0, 0.0, 2000000.0, 4300000.0, 16.0, 497.0, 5100000.0, 200000.0, 5700000.0, 2800000.0]","[2.00000000e+00 1.00000000e+00 0.00000000e+00 3.49995161e+04
 4.30000000e+06 5.00000000e+00 5.99516135e+02 2.80000000e+06
 9.95161353e+01 9.99516135e+02 8.00000000e+05]",1.935458754406874,1.935458754406874,0.0672214031219482,0.483864688601718,0.483864688601718,0.483864688601718,0.483864688601718
"[3.0, 0.0, 1.0, 1400000.0, 2700000.0, 14.0, 694.0, 3800000.0, 200000.0, 3600000.0, 1700000.0]","[3.00000000e+00 0.00000000e+00 1.00000000e+00 3.49998864e+04
 2.70000000e+06 5.00000000e+00 5.99886391e+02 2.80000000e+06
 9.98863908e+01 9.99886391e+02 8.00000000e+05]",0.454436764337139,0.454436764337139,0.0773937702178955,0.113609191084284,0.113609191084284,0.113609191084284,0.113609191084284
"[1.0, 0.0, 0.0, 2500000.0, 5900000.0, 12.0, 668.0, 7400000.0, 600000.0, 6300000.0, 3700000.0]","[1.00000000e+00 0.00000000e+00 0.00000000e+00 3.49991459e+04
 5.90000000e+06 5.00000000e+00 5.99145880e+02 2.80000000e+06
 9.91458798e+01 9.99145880e+02 8.00000000e+05]",3.416480886084031,3.416480886084031,0.078010082244873,0.854120221521007,0.854120221521007,0.854120221521007,0.854120221521007
